Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment|topic0|topic1|topic2|topic3|topic4
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Overall|1.7|     Ältere Kollegen werden zwar akzeptiert, aber sind nicht wirklich gewollt.     |0.040185068|0.12440562|0.75380373|0.040487196|0.0411184
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|3.0|       Mitarbeiter wurden soweit möglich in Homeoffice geschickt.   |0.8345171|0.040097866|0.040471833|0.044396628|0.040516574
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Overall|3.8| Guter Arbeitgeber mit Problemen in der Führungsriege         |0.14991823|0.47611356|0.16782291|0.073414825|0.13273045
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Overall|3.8| Ich weiß nicht.         |0.2|0.2|0.2|0.2|0.2
