Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Kollegenzusammenhalt|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Gleichberechtigung|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Umgang mit älteren Kollegen|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Corona1|NA|frühzeitig und kurzfristig Maßnahmen zum erkennen und eindämmen der Pandemie
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Corona2|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Corona3|NA|Mein Arbeitgeber hat für alle Angestellten Mund-Nasenschutz in ausreichender Zahl zur Verfügung gestellt
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Work-Life-Balance|3|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Overall|2.5|Unternehmenskultur ist nicht mehr zeitgemäss
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Arbeitsatmosphäre|3|Jeder schaut nach sich selber. Kaum Teamzusammenhalt. Wird in Management nicht vorgelebt.
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Kollegenzusammenhalt|2|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Keine Gleichberechtigung für Eltern, die Familie und Beruf vereinbaren wollen.
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Umgang mit älteren Kollegen|2|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Umwelt-/Sozialbewusstsein|3|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Corona1|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Corona2|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Corona3|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Work-Life-Balance|3|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Overall|4.6|Gute Reaktion
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Arbeitsatmosphäre|4|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Kollegenzusammenhalt|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Gleichberechtigung|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Umgang mit älteren Kollegen|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Corona1|NA|Crisis Management, Mobiles Arbeiten ermöglicht
