Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung. bei Covestro. in . Leverkusen gearbeitet.|Empfohlen|Arbeitsatmosphäre|4.7|Nicht in Worte zu beschreiben . Es gibt kein schönes Wort um die Begeisterung auszudrücken. Stellt euch das Paradies vor, nur auf dieser Erde
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung. bei Covestro. in . Leverkusen gearbeitet.|Empfohlen|Arbeitsatmosphäre|4.7|Stimmung etwas gedrückt durch aktuelle "Automobilkrise". Ich würde mir mehr Begeisterung im Team wünschen. Lob von Vorgesetzten ist eher selten. Man muss einen guten und achtsamen Willen mitbringen um langjährig zufrieden arbeiten zu können
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung. bei Covestro. in . Leverkusen gearbeitet.|Empfohlen|Arbeitsatmosphäre|4.7|Nicht am Puls der Zeit, keine Leidenschaft, keine Ideen und Innovationen mehr, nichts das begeistert
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung. bei Covestro. in . Leverkusen gearbeitet.|Empfohlen|Arbeitsatmosphäre|4.7|In meiner Abteilung sind wir vier Studenten aus drei Jahrgängen. Das ist aber nicht der Regelfall. Dennoch trifft man bei Workshops regelmäßig auf Kommilitonen aus seinem Ausbildungsgebiet und während der Uniphasen dann auf alle Kommilitonen aus ganz Deutschland. Ansonsten ist es im Büro so, dass die Kollegen immer ein offenes Ohr haben, wenn ich mit meiner Arbeit feststecke und Hilfe benötige. Aber auch für Gespräche in der Kaffeeküche oder am Arbeitsplatz sind die Kollegen zu begeistern. Ansonsten kann man natürlich auch nach der Arbeit zum Betriebssport gehen. Dort trifft man dann auch auf Kollegen aus anderen Abteilungen. An unserem Standort wird zum Beispiel ein Film-Club angeboten (trifft sich alle 2 Wochen und schaut einen Film), aber es gibt auch Schach, eine Laufgruppe oder Fußball.']
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung. bei Covestro. in . Leverkusen gearbeitet.|Empfohlen|Arbeitsatmosphäre|4.7|Ich komme jeden Tag gern ins Büro - Nette Kollegen, helle Büros und überall Menschen die meine Begeisterung für Autos teilen. Ideen werden geschätzt. Auch wenn es natürlich auch anstrengende Themen/Tage gibt oder man ein Herzensthema nicht zur Umsetzung bringen kann. Man ist gerne hier, fühlt sich gebraucht, geschätzt und will etwas beitragen. Hier würde ich sogar noch 1* extra geben, wenn ich könnte.']
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung. bei Covestro. in . Leverkusen gearbeitet.|Empfohlen|Arbeitsatmosphäre|4.7|Ich bin begeistert besser von meinem schlecht tollen, lustigen und freundlichen Team und der offenen Firmenkultur im allgemeinen!']
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung. bei Covestro. in . Leverkusen gearbeitet.|Empfohlen|Arbeitsatmosphäre|4.7|Im allgemeinen gute Atmosphäre, aber nicht sonderlich inspirierend oder begeisternd. Der Konzern kämpft mit den Kosten und die Verwaltungsbereiche stehen unter Spardruck.']
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung. bei Covestro. in . Leverkusen gearbeitet.|Empfohlen|Arbeitsatmosphäre|4.7|Zur Zeit sehr schlecht, da auf Grund der schlechten Managementarbeit und zu kurzfristiger Sichtweise unserer Entscheidungträger der Standort vor Schließung steht. Wir haben sehr gute Kunden, gutes Produkt und MA die sich für die Firma begeistern, jedoch wird alles von drei Personen seid ca. 5 Jahren gegen die Wand gefahren.']
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung. bei Covestro. in . Leverkusen gearbeitet.|Empfohlen|Arbeitsatmosphäre|4.7|Bisher war ich immer absolut begeistert von der tollen Arbeitsatmosphäre bei Hypoport, zum ersten Mal seit Jahren denke ich über einen Wechsel nach. Aktuell machen sich viele Kollegen Sorgen wegen neuer Sparmaßnahmen. In Zukunft soll ich mir jeden Tag einen neuen Platz im Gebäude suchen gehen, allerdings gibt es wohl für mein Team nur halb so viel Plätze wie bisher. Wie das funktionieren soll weiß niemand. So treiben wohl auch andere Unternehmen ihre Mitarbeiter vor die Tür.']
