Sr. No,Unternehmen,Index,URL Pattern,Industry Type,Kununu Webpage,Verified,,,,,,,,,,,,,,,,,,,
53,Gerresheimer AG,Mdax,gerresheimer,Medizin/Pharma,,Yes,,,,,,,,,,,,,,,,,,,
54,Grand City Properties S.A.,Mdax,grand-city-property-ltd3,Immobilien,https://www.kununu.com/de/grand-city-property-ltd3,Yes,,,,,,,,,,,,,,,,,,,
55,GRENKE AG,Mdax,grenke-ag,Banken,,Yes,,,,,,,,,,,,,,,,,,,
56,Hannover Rück SE,Mdax,hannover-rueckversicherung,Versicherung,,Yes,,,,,,,,,,,,,,,,,,,
57,HELLA GmbH & Co. KGaA,Mdax,hellakonzern,Automobil,,Yes,,,,,,,,,,,,,,,,,,,
58,HelloFresh SE,Mdax,hellofresh,Handel,https://www.kununu.com/de/hellofresh,Yes,,,,,,,,,,,,,,,,,,,
59,HOCHTIEF Aktiengesellschaft,Mdax,hochtief,Bau/Architektur,https://www.kununu.com/de/hochtief,Yes,,,,,,,,,,,,,,,,,,,
60,Hugo Boss AG,Mdax,hugo-boss8,Textil,,Yes,,,,,,,,,,,,,,,,,,,
61,K+S Aktiengesellschaft,Mdax,k-s-aktiengesellschaft-deutschland,Chemie,,Yes,,,,,,,,,,,,,,,,,,,
62,KION GROUP AG,Mdax,kion-group2,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
63,Knorr-Bremse Aktiengesellschaft,Mdax,knorr-bremse,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
64,LANXESS Aktiengesellschaft,Mdax,lanxess,Chemie,https://www.kununu.com/de/lanxess,Yes,,,,,,,,,,,,,,,,,,,
65,LEG Immobilien AG,Mdax,leg-immobilien-gruppe, Immobilien,,Yes,,,,,,,,,,,,,,,,,,,
66,Metro AG,Mdax,metroag,Handel,,Yes,,,,,,,,,,,,,,,,,,,
67,MorphoSys AG,Mdax,morphosys,Medizin/Pharma,,Yes,,,,,,,,,,,,,,,,,,,
68,Nemetschek SE,Mdax,nemetschek-group,IT,,Yes,,,,,,,,,,,,,,,,,,,
69,OSRAM Licht AG,Mdax,osram,Handel,https://www.kununu.com/de/osram,Yes,,,,,,,,,,,,,,,,,,,
