Deutsche Post AG,342
Siemens Healthineers AG,334
Siemens Aktiengesellschaft,334
Deutsche Telekom AG,272
Continental Aktiengesellschaft,250
Bechtle AG,212
Bertrandt Aktiengesellschaft,205
Sixt SE,204
Zalando SE,192
BASF SE,174
Commerzbank AG,159
thyssenkrupp AG,158
Allianz SE,149
Volkswagen AG,136
Amadeus FiRe AG,132
1&1 Drillisch AG,125
Telefónica Deutschland Holding AG,122
Wüstenrot & Württembergische AG,115
adidas ag,112
Cancom SE,108
Vonovia SE,107
Schaeffler AG,102
Knorr-Bremse Aktiengesellschaft,97
Daimler AG,85
Scout24 AG,84
Deutsche Bank AG,81
Linde AG,80
Infineon Technologies AG,79
Carl Zeiss Meditec AG,77
SMA Solar Technology AG,67
Ströer SE & Co. KGaA,64
Gerresheimer AG,59
HELLA GmbH & Co. KGaA,58
freenet AG,57
Hugo Boss AG,55
Krones AG,54
Jungheinrich Aktiengesellschaft,52
MERCK Kommanditgesellschaft auf Aktien,51
Evonik Industries AG,50
Fielmann Aktiengesellschaft,50
Nordex SE,50
TeamViewer AG,47
Rheinmetall AG,46
LEONI AG,46
Wirecard AG,43
Drägerwerk AG & Co. KGaA,43
SAP SE,40
OSRAM Licht AG,40
PUMA SE,39
QIAGEN N.V.,38
Deutsche Lufthansa AG,37
Aurubis AG,36
Beiersdorf Aktiengesellschaft,36
CompuGroup Medical Societas Europaea,35
ProSiebenSat.1 Media SE,34
LANXESS Aktiengesellschaft,33
Brenntag AG,33
Henkel AG & Co. KGaA,33
Bilfinger SE,29
MTU Aero Engines AG,28
CEWE Stiftung & Co. KGaA,28
RTL Group SA,28
zooplus AG,28
Grand City Properties S.A.,27
Deutsche Börse AG,26
CTS Eventim AG & Co. KGaA,26
BayWa Aktiengesellschaft,26
Fresenius Medical Care AG & Co. KGaA,26
Fraport AG,25
Jenoptik AG,25
SNP Schneider-Neureither & Partner SE,24
Covestro AG,24
Sartorius Aktiengesellschaft,24
HelloFresh SE,22
LEG Immobilien AG,22
RWE Aktiengesellschaft,21
TAG Immobilien AG,21
Wacker Chemie AG,21
Bayer Aktiengesellschaft,20
Aareal Bank AG,20
Pfeiffer Vacuum Technology AG,20
HOCHTIEF Aktiengesellschaft,20
GRENKE AG,18
GEA Group Aktiengesellschaft,18
CORESTATE Capital Holding S.A.,18
Münchener Rückversicherungs-Gesellschaft AG,17
Uniper SE,17
Symrise AG,16
AIXTRON SE,16
DEUTZ Aktiengesellschaft,15
Deutsche Wohnen SE,15
Software Aktiengesellschaft,15
Rocket Internet SE,15
LPKF Laser & Electronics AG,15
WashTec AG,13
KWS SAAT SE & Co. KGaA,13
Metro AG,13
Delivery Hero SE,12
Hannover Rück SE,12
JOST Werke AG,12
Encavis AG,11
HeidelbergCement AG,11
Wacker Neuson SE,11
Salzgitter AG,11
Vossloh AG,11
New Work SE,11
Shop Apotheke Europe N.V.,10
RATIONAL Aktiengesellschaft,10
Südzucker AG,10
Hypoport SE,10
Isra Vision AG,9
Aroundtown SA,9
Instone Real Estate Group AG,9
alstria office REIT-AG,9
Koenig & Bauer AG,8
RIB Software SE,8
United Internet AG,8
Stabilus S.A.,7
RHÖN-KLINIKUM Aktiengesellschaft,7
E.ON SE,7
Deutsche Pfandbriefbank AG,6
SAF-Holland SE,6
Siltronic AG,6
Patrizia AG,5
Evotec SE,5
Traton SE,5
NORMA Group SE,4
DIC Asset AG,4
Fresenius SE & Co. KGaA,3
KION GROUP AG,3
Elmos Semiconductor AG,3
Nemetschek SE,3
Hamburger Hafen und Logistik Aktiengesellschaft,3
Klöckner & Co SE,3
MorphoSys AG,3
DWS Group GmbH & Co. KGaA,2
Eckert & Ziegler Strahlen- und Medizintechnik AG,2
ADVA Optical Networking SE,2
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,1
Deutsche EuroShop AG,1
Takkt AG,1
