Deutsche Post AG,204
Sixt SE,107
Siemens Aktiengesellschaft,95
Siemens Healthineers AG,95
Continental Aktiengesellschaft,85
Bertrandt Aktiengesellschaft,85
Zalando SE,85
Deutsche Telekom AG,81
Bechtle AG,78
thyssenkrupp AG,70
BASF SE,64
Allianz SE,61
Cancom SE,54
Commerzbank AG,52
Knorr-Bremse Aktiengesellschaft,45
adidas ag,44
1&1 Drillisch AG,43
Telefónica Deutschland Holding AG,38
Schaeffler AG,37
Deutsche Bank AG,36
Scout24 AG,35
LEONI AG,35
Volkswagen AG,33
HELLA GmbH & Co. KGaA,33
Wüstenrot & Württembergische AG,32
Vonovia SE,32
Fielmann Aktiengesellschaft,29
Amadeus FiRe AG,27
Daimler AG,27
Linde AG,26
Nordex SE,24
Wirecard AG,23
Evonik Industries AG,23
Gerresheimer AG,21
OSRAM Licht AG,21
Ströer SE & Co. KGaA,21
MERCK Kommanditgesellschaft auf Aktien,20
Aurubis AG,20
Hugo Boss AG,19
Carl Zeiss Meditec AG,18
Rheinmetall AG,18
Jenoptik AG,16
Krones AG,15
Beiersdorf Aktiengesellschaft,15
Jungheinrich Aktiengesellschaft,15
freenet AG,15
Fresenius Medical Care AG & Co. KGaA,14
QIAGEN N.V.,14
Bilfinger SE,14
zooplus AG,13
Deutsche Lufthansa AG,12
LANXESS Aktiengesellschaft,12
ProSiebenSat.1 Media SE,12
LPKF Laser & Electronics AG,12
GEA Group Aktiengesellschaft,12
BayWa Aktiengesellschaft,12
MTU Aero Engines AG,12
Grand City Properties S.A.,12
Henkel AG & Co. KGaA,12
CTS Eventim AG & Co. KGaA,11
Deutsche Börse AG,10
AIXTRON SE,10
Uniper SE,10
Drägerwerk AG & Co. KGaA,10
Infineon Technologies AG,10
SMA Solar Technology AG,10
TeamViewer AG,9
HelloFresh SE,9
CEWE Stiftung & Co. KGaA,8
Wacker Chemie AG,8
CompuGroup Medical Societas Europaea,8
RTL Group SA,8
Sartorius Aktiengesellschaft,8
Brenntag AG,7
SNP Schneider-Neureither & Partner SE,7
Metro AG,7
Bayer Aktiengesellschaft,7
WashTec AG,7
Shop Apotheke Europe N.V.,7
Fraport AG,7
Symrise AG,7
CORESTATE Capital Holding S.A.,7
Aareal Bank AG,6
PUMA SE,6
Vossloh AG,6
KWS SAAT SE & Co. KGaA,6
DEUTZ Aktiengesellschaft,5
Delivery Hero SE,5
Aroundtown SA,5
Deutsche Pfandbriefbank AG,4
RHÖN-KLINIKUM Aktiengesellschaft,4
Wacker Neuson SE,4
SAP SE,4
United Internet AG,4
HeidelbergCement AG,4
Covestro AG,4
RATIONAL Aktiengesellschaft,4
RWE Aktiengesellschaft,4
Deutsche Wohnen SE,4
Software Aktiengesellschaft,3
TAG Immobilien AG,3
RIB Software SE,3
Münchener Rückversicherungs-Gesellschaft AG,3
LEG Immobilien AG,3
HOCHTIEF Aktiengesellschaft,2
Instone Real Estate Group AG,2
Encavis AG,2
JOST Werke AG,2
DIC Asset AG,2
alstria office REIT-AG,2
Pfeiffer Vacuum Technology AG,2
Evotec SE,2
Traton SE,2
ADVA Optical Networking SE,2
Fresenius SE & Co. KGaA,2
NORMA Group SE,2
Salzgitter AG,2
Patrizia AG,1
Hannover Rück SE,1
Koenig & Bauer AG,1
GRENKE AG,1
Elmos Semiconductor AG,1
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,1
MorphoSys AG,1
E.ON SE,1
Eckert & Ziegler Strahlen- und Medizintechnik AG,1
KION GROUP AG,1
Siltronic AG,1
Stabilus S.A.,1
Takkt AG,1
SAF-Holland SE,1
Rocket Internet SE,1
Deutsche EuroShop AG,1
Hypoport SE,1
