1,14
2,6
3,102
4,114
5,29
6,60
7,80
8,14
9,122
10,29
11,114
12,25
13,31
14,73
15,11
16,7
17,7
18,6
19,38
20,15
21,54
22,23
23,15
24,5
25,52
26,75
27,23
28,7
29,64
30,222
31,114
32,58
33,80
34,169
35,78
36,54
37,81
38,132
39,35
40,102
41,120
42,57
43,24
44,130
45,64
46,162
47,91
48,78
49,9
50,28
51,59
52,65
53,86
54,10
55,15
56,49
57,22
58,93
59,19
60,11
61,12
62,15
63,56
64,23
65,23
66,17
67,36
68,35
69,22
70,15
71,6
72,202
73,16
74,57
75,12
76,32
77,8
78,61
79,57
80,6
81,60
82,16
83,32
84,88
85,29
86,9
87,49
88,18
89,43
90,10
91,11
92,65
93,7
94,16
95,14
96,22
97,47
98,67
99,9
100,10
101,6
102,10
103,14
104,5
105,10
106,14
107,8
108,13
109,26
110,51
111,153
112,36
113,16
114,81
115,5
116,30
117,17
118,37
119,45
120,22
121,32
122,65
123,46
124,38
125,163
126,68
127,46
128,24
129,42
130,91
131,31
132,14
133,48
134,50
135,24
136,8
137,21
138,119
139,15
140,111
141,10
142,92
143,162
144,10
145,18
146,28
147,18
148,17
149,29
150,10
151,64
152,6
153,55
154,104
155,360
156,93
157,66
158,71
159,22
160,19
161,122
162,59
163,58
164,84
165,37
166,80
167,36
168,73
169,32
170,57
171,24
172,75
173,230
174,25
175,87
176,110
177,22
178,20
179,41
180,46
181,71
182,65
183,64
184,10
185,6
186,112
187,103
188,25
189,25
190,25
191,39
192,11
193,11
194,56
195,139
196,8
197,77
198,60
199,11
200,219
201,11
202,28
203,51
204,8
205,8
206,18
207,100
208,17
209,10
210,53
211,8
212,6
213,17
214,10
215,51
216,26
217,15
218,25
219,6
220,28
221,19
222,19
223,10
224,30
225,40
226,55
227,75
228,16
229,166
230,13
231,10
232,9
233,8
234,16
235,8
236,8
237,7
238,14
239,7
240,7
241,6
242,8
243,8
244,8
245,6
246,45
247,118
248,17
249,50
250,86
251,54
252,37
253,10
254,8
255,13
256,27
257,32
258,17
259,38
260,14
261,17
262,42
263,64
264,18
265,19
266,16
267,42
268,24
269,12
270,8
271,44
272,38
273,35
274,17
275,170
276,13
277,21
278,7
279,30
280,11
