Siemens Aktiengesellschaft,680
Siemens Healthineers AG,680
Deutsche Telekom AG,599
Deutsche Post AG,476
Continental Aktiengesellschaft,364
Amadeus FiRe AG,363
Volkswagen AG,321
BASF SE,307
Bertrandt Aktiengesellschaft,293
Allianz SE,262
Bechtle AG,251
Commerzbank AG,250
thyssenkrupp AG,240
Sixt SE,225
Drägerwerk AG & Co. KGaA,218
Schaeffler AG,213
Daimler AG,212
Knorr-Bremse Aktiengesellschaft,199
Wüstenrot & Württembergische AG,192
Infineon Technologies AG,190
Vonovia SE,184
Carl Zeiss Meditec AG,167
Zalando SE,143
adidas ag,143
1&1 Drillisch AG,141
Cancom SE,137
HELLA GmbH & Co. KGaA,129
Telefónica Deutschland Holding AG,126
Deutsche Bank AG,119
freenet AG,111
Fraport AG,107
Hugo Boss AG,104
Krones AG,100
Evonik Industries AG,99
CompuGroup Medical Societas Europaea,98
Fielmann Aktiengesellschaft,97
Ströer SE & Co. KGaA,96
Deutsche Lufthansa AG,93
MERCK Kommanditgesellschaft auf Aktien,89
Gerresheimer AG,89
Jungheinrich Aktiengesellschaft,82
Beiersdorf Aktiengesellschaft,82
Rheinmetall AG,77
SAP SE,76
PUMA SE,64
Scout24 AG,64
ProSiebenSat.1 Media SE,60
SMA Solar Technology AG,60
OSRAM Licht AG,60
RTL Group SA,58
RWE Aktiengesellschaft,56
MTU Aero Engines AG,55
Wirecard AG,53
BayWa Aktiengesellschaft,52
Covestro AG,51
TeamViewer AG,50
Sartorius Aktiengesellschaft,50
Henkel AG & Co. KGaA,48
TAG Immobilien AG,47
CEWE Stiftung & Co. KGaA,47
Grand City Properties S.A.,47
LANXESS Aktiengesellschaft,45
Software Aktiengesellschaft,44
Linde AG,43
LEG Immobilien AG,39
Symrise AG,38
Deutsche Börse AG,38
Nordex SE,37
HelloFresh SE,37
Jenoptik AG,37
Aurubis AG,37
CTS Eventim AG & Co. KGaA,36
Fresenius Medical Care AG & Co. KGaA,35
HOCHTIEF Aktiengesellschaft,35
Pfeiffer Vacuum Technology AG,35
LEONI AG,35
Wacker Chemie AG,35
Brenntag AG,33
Deutsche Wohnen SE,33
Bilfinger SE,33
Bayer Aktiengesellschaft,32
Uniper SE,31
SNP Schneider-Neureither & Partner SE,28
Aareal Bank AG,28
Hannover Rück SE,26
GEA Group Aktiengesellschaft,26
QIAGEN N.V.,26
New Work SE,25
zooplus AG,24
GRENKE AG,24
Metro AG,23
WashTec AG,22
Salzgitter AG,22
CORESTATE Capital Holding S.A.,21
Hypoport SE,21
KWS SAAT SE & Co. KGaA,20
JOST Werke AG,18
DEUTZ Aktiengesellschaft,18
Münchener Rückversicherungs-Gesellschaft AG,18
Südzucker AG,18
Koenig & Bauer AG,17
HeidelbergCement AG,17
Wacker Neuson SE,16
Shop Apotheke Europe N.V.,15
RIB Software SE,15
RATIONAL Aktiengesellschaft,15
Delivery Hero SE,15
Instone Real Estate Group AG,15
alstria office REIT-AG,14
Siltronic AG,13
Hamburger Hafen und Logistik Aktiengesellschaft,13
NORMA Group SE,13
E.ON SE,12
Encavis AG,11
Aroundtown SA,11
Rocket Internet SE,10
Stabilus S.A.,9
Fresenius SE & Co. KGaA,9
KION GROUP AG,9
United Internet AG,9
Klöckner & Co SE,8
Vossloh AG,8
Isra Vision AG,7
SAF-Holland SE,7
Evotec SE,7
LPKF Laser & Electronics AG,7
Nemetschek SE,7
AIXTRON SE,7
DWS Group GmbH & Co. KGaA,6
Deutsche Pfandbriefbank AG,6
Patrizia AG,5
RHÖN-KLINIKUM Aktiengesellschaft,5
MorphoSys AG,4
Takkt AG,4
Traton SE,4
Dermapharm Holding SE,4
ADVA Optical Networking SE,4
Bayerische Motoren Werke AG,3
Deutsche Beteiligungs AG,2
DIC Asset AG,2
Fuchs Petrolub SE,1
Elmos Semiconductor AG,1
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,1
Eckert & Ziegler Strahlen- und Medizintechnik AG,1
Hamborner REIT AG,1
