1,102
2,114
3,29
4,60
5,80
6,122
7,114
8,73
9,11
10,52
11,64
12,222
13,114
14,58
15,80
16,169
17,54
18,81
19,132
20,35
21,120
22,57
23,162
24,91
25,78
26,59
27,65
28,86
29,49
30,93
31,56
32,17
33,35
34,202
35,61
36,57
37,16
38,88
39,43
40,11
41,14
42,47
43,10
44,26
45,153
46,36
47,81
48,17
49,37
50,163
51,91
52,48
53,119
54,111
55,92
56,162
57,18
58,104
59,360
60,93
61,71
62,122
63,84
64,37
65,73
66,32
67,24
68,75
69,230
70,25
71,20
72,46
73,65
74,64
75,6
76,112
77,25
78,139
79,77
80,11
81,219
82,11
83,28
84,100
85,17
86,53
87,51
88,26
89,28
90,10
91,30
92,40
93,75
94,16
95,166
96,45
97,86
98,37
99,32
100,38
101,64
102,42
103,35
104,170
105,30
106,11
107,25
108,43
109,151
110,82
111,205
112,15
113,37
114,186
115,211
116,35
117,61
118,41
119,36
120,6
121,365
122,40
123,89
124,80
125,53
126,44
127,53
128,118
129,313
130,204
131,135
132,48
133,123
134,20
135,179
136,74
137,64
138,114
139,64
140,69
141,76
142,41
143,23
144,102
145,39
146,102
147,129
148,75
149,71
150,51
151,44
152,29
153,17
154,41
155,35
156,47
157,45
158,80
159,57
160,108
161,351
162,79
163,78
164,116
165,76
166,90
167,63
168,52
169,162
170,214
171,100
172,233
173,250
174,115
175,62
176,45
177,341
178,216
179,14
180,153
181,79
182,88
183,68
184,37
185,20
186,80
187,22
188,42
189,86
190,146
191,57
192,75
193,37
194,92
195,19
196,20
197,53
198,36
199,189
200,107
201,31
202,81
203,22
204,23
205,81
206,74
207,90
208,52
209,66
210,22
211,56
212,46
213,101
214,63
215,75
216,203
217,41
218,194
219,18
220,99
221,135
222,17
223,31
224,206
225,36
226,44
227,36
228,49
229,39
230,66
231,29
232,35
233,9
234,110
235,35
236,50
237,9
238,61
239,92
240,38
241,43
242,50
243,233
244,177
245,40
246,25
247,16
248,29
249,24
250,50
251,145
252,65
253,164
254,346
255,35
256,62
257,112
258,38
259,58
260,397
261,104
262,133
263,35
264,14
265,24
266,83
267,31
268,77
269,99
270,30
271,19
272,6
273,47
274,13
275,113
276,78
277,96
278,127
279,86
280,49
281,10
282,6
283,197
284,11
285,175
286,183
287,162
288,57
289,147
290,87
291,38
292,96
293,90
294,53
295,79
296,57
297,92
298,26
299,25
300,93
301,89
302,42
303,118
304,72
305,37
306,146
307,74
308,10
309,15
310,60
311,159
312,36
313,97
314,110
315,34
316,58
317,25
318,45
319,62
320,194
321,52
322,86
323,22
324,10
325,32
326,10
327,54
328,104
329,9
330,166
331,47
332,100
333,109
334,75
335,42
336,43
337,40
338,56
339,95
340,135
341,22
342,39
343,60
344,64
345,40
346,48
347,9
348,26
349,210
350,100
351,340
352,142
353,251
354,71
355,21
356,77
357,77
358,44
359,11
