topic0,5.564166162,0.059751674,,5.975167418
topic1,4.876522366,0.052367303,,5.236730304
topic2,5.430694313,0.058318366,,5.831836572
topic3,4.058511578,0.043582965,,4.358296542
topic4,5.548268685,0.059580957,,5.958095662
topic5,8.649194749,0.092880739,,9.288073927
topic6,4.763935427,0.05115827,,5.115827047
topic7,7.130893136,0.076576218,,7.657621841
topic8,5.656624919,0.060744557,,6.074455709
topic9,3.378820988,0.036284001,,3.628400104
topic10,4.391813587,0.047162182,,4.716218152
topic11,6.349596932,0.068186146,,6.818614613
topic12,3.845806012,0.041298793,,4.129879322
topic13,2.953610533,0.031717812,,3.171781163
topic14,5.548745666,0.059586079,,5.958607875
topic15,4.647004219,0.049902586,,4.990258628
topic16,4.808328834,0.051634996,,5.163499606
topic17,5.518972518,0.059266355,,5.926635512
