topic0,35.15843372,0.044525108,,4.45251084
topic1,36.99621467,0.046852499,,4.685249866
topic2,58.09778248,0.073575805,,7.357580497
topic3,23.65250425,0.029953846,,2.995384618
topic4,39.90345301,0.050534264,,5.053426397
topic5,24.52732969,0.031061737,,3.106173676
topic6,33.16076866,0.041995239,,4.199523878
topic7,25.98885063,0.032912626,,3.291262633
topic8,41.29076867,0.052291179,,5.2291179
topic9,38.78748452,0.049120987,,4.912098663
topic10,102.6812001,0.130036838,,13.00368385
topic11,40.31263076,0.051052452,,5.105245212
topic12,67.07828195,topic eliminated,,#VALUE!
topic13,52.96600913,0.067076859,,6.707685889
topic14,35.15251961,0.044517619,,4.451761868
topic15,31.97410043,0.040492426,,4.049242633
topic16,32.62738725,0.041319757,,4.131975746
topic17,44.01077748,0.055735834,,5.573583435
topic18,32.53990227,0.041208965,,4.120896531
topic19,37.95473458,0.048066381,,4.806638102
topic20,27.98436877,topic eliminated,,#VALUE!
topic21,21.8487736,0.027669578,,2.766957768
topic22,40.22619492,topic eliminated,,#VALUE!
