topic0,80.31862492,0.077916423,,7.791642321
topic1,53.7796346,0.052171172,,5.217117168
topic2,50.66118367,0.049145989,,4.914598863
topic3,66.32304294,0.064339427,,6.433942672
topic4,61.0783936,0.059251636,,5.925163646
topic5,64.64572276,0.062712273,,6.271227251
topic6,67.69493677,0.065670289,,6.567028941
topic7,68.17957895,0.066140437,,6.614043671
topic8,47.64790847,0.046222836,,4.622283568
topic9,36.33334409,0.035246672,,3.524667184
topic10,48.60758342,0.047153808,,4.715380829
topic11,61.36605075,0.05953069,,5.953069025
topic12,44.33805529,0.043011975,,4.301197492
topic13,36.70889597,0.035610992,,3.561099156
topic14,75.97334839,0.073701107,,7.370110696
topic15,57.73655271,0.056009745,,5.60097447
topic16,57.51942408,0.05579911,,5.579911004
topic17,51.91821115,0.05036542,,5.036542043
