topic0,206.0720894,0.074667145,,7.466714458
topic1,135.8370042,0.04921851,,4.92185102
topic2,136.608986,0.049498226,,4.949822624
topic3,179.2237973,0.064939067,,6.493906681
topic4,167.5849823,0.060721916,,6.0721916
topic5,170.327194,0.061715515,,6.171551546
topic6,127.7914497,0.046303324,,4.630332363
topic7,193.290263,0.070035841,,7.003584062
topic8,143.5291356,0.052005639,,5.200563914
topic9,94.86215895,0.034371887,,3.437188683
topic10,132.8200327,0.048125356,,4.81253556
topic11,183.4762213,0.066479869,,6.647986917
topic12,118.149925,0.042809861,,4.280986112
topic13,107.5693686,0.038976155,,3.897615452
topic14,187.4116284,0.067905805,,6.790580514
topic15,163.3338636,0.059181587,,5.918158662
topic16,155.2140975,0.056239511,,5.623951062
topic17,156.7741925,0.056804788,,5.680478772
